date,source,grams
2023-02-13,coffee,15
2023-02-13,tea,5
2023-02-14,coffee,15
2023-02-14,tea,4
2023-02-15,coffee,14
2023-02-15,tea,4
2023-02-16,coffee,15
2023-02-16,tea,3
2023-02-17,coffee,13
2023-02-17,tea,3
2023-02-18,coffee,12
2023-02-18,tea,3
2023-02-19,coffee,12
2023-02-19,tea,2
2023-02-20,coffee,12
2023-02-20,tea,1
2023-02-21,coffee,12
2023-02-22,tea,4
2023-02-23,coffee,12
2023-02-24,tea,3.5
2023-02-25,coffee,18
2023-02-26,coffee,12
2023-02-27,coffee,12
2023-02-28,tea,4
2023-03-01,tea,3.5
2023-03-02,tea,3
2023-03-03,tea,2.5
2023-03-04,coffee,15
2023-03-05,tea,2
2023-03-06,tea,2.5
2023-03-07,tea,2
2023-03-08,tea,1.5
2023-03-09,tea,1
2023-03-10,tea,0.5
2023-03-11,coffee,15
